Metric,Value
NSA ID,161
NSA Name,Kernewood
Total Population,513
Median HH Income ($),"$169,163"
Median Gross Rent ($/mo),"$1,144"
% Renter-Occupied,14.3%
Population Change (%),-50.0%
Pop Density (per km²),2553.7
% Age 18–34,14.9%
% Age 35–64,39.0%
% Age 65+,19.5%
% Bachelor's or Higher,76.2%
Avg Household Size,2.8
% Drive Alone,52.6%
% Public Transit,2.2%
% Walk,1.9%
% Work from Home,25.0%
Median Home Value ($),"$589,166"
Vacancy Rate (%),2.1%
% Owner-Occupied,85.7%
% Units Built Pre-1950,18.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,025"
Population Change (abs),-512
Prior Income (CPI-adj $),"$116,492"
"Income Change (%, inflation-adj)",45.2%
Prior Median Rent ($/mo),$917
Rent Change (%),24.7%
